日期,客户id,性别,国籍,职业,产品分类,产品名称,等级,价格,购买数量,消费额(元),门店名称,店长
2019/2/27,A020,男,中国,退休,饮料,产品 6,一级,59.2,2,118.4,3W咖啡西单店,Jerry
2019/2/27,A020,男,中国,退休,饮料,产品 24,一级,57.6,7,403.2,3W咖啡望京店,Tom
2019/2/27,A021,男,荷兰,无业游民,茶饮,产品 26,三级,13.6,1,13.6,3W咖啡王府井店,Nancy
2019/2/27,A001,男,中国,退休,饮料,产品 8,二级,28,6,168,3W咖啡西单店,Jerry
2019/2/27,A016,男,英国,无业游民,美食,产品 18,二级,61.6,2,123.2,3W咖啡长城店,Jim
2019/2/27,A022,男,中国,无业游民,咖啡,产品 13,三级,16,5,80,3W咖啡大兴店,Bob
2019/2/28,A006,女,中国,商务精英,饮料,产品 14,三级,8,1,8,3W咖啡大兴店,Bob
2019/2/28,A018,男,荷兰,退休,饮料,产品 28,一级,16.2,1,16.2,3W咖啡公主坟店,Andy
2019/2/28,A005,男,英国,无业游民,茶饮,产品 23,一级,4.5,1,4.5,3W咖啡鲁谷店,Lucy
2019/2/28,A019,男,荷兰,商务精英,饮料,产品 29,三级,3,1,3,3W咖啡门头沟店,Simon
2019/2/28,A024,男,美国,退休,美食,产品 20,二级,59.2,1,59.2,3W咖啡长城店,Jim
2019/2/28,A012,女,美国,上班族,饮料,产品 30,二级,20.8,1,20.8,3W咖啡望京店,Tom
2019/2/28,A012,女,美国,上班族,咖啡,产品 16,三级,48,1,48,3W咖啡长城店,Jim
2019/2/28,A007,男,中国,上班族,咖啡,产品 21,一级,53,1,53,3W咖啡公主坟店,Andy
2019/2/28,A001,男,中国,退休,饮料,产品 30,二级,20.8,1,20.8,3W咖啡西单店,Jerry
2019/2/28,A002,男,荷兰,学生,冰饮,产品 9,二级,56,1,56,3W咖啡长城店,Jim
2019/2/28,A021,男,荷兰,无业游民,美食,产品 1,一级,25.2,7,176.4,3W咖啡西单店,Jerry
2019/2/28,A003,女,中国,退休,冰饮,产品 10,一级,58.4,5,292,3W咖啡公主坟店,Andy
2019/2/28,A008,男,中国,学生,饮料,产品 24,一级,57.6,1,57.6,3W咖啡王府井店,Nancy
2019/2/28,A006,女,中国,商务精英,饮料,产品 29,三级,2.4,8,19.2,3W咖啡鲁谷店,Lucy
2019/2/28,A026,女,荷兰,退休,饮料,产品 24,一级,57.6,4,230.4,3W咖啡长城店,Jim
2019/2/28,A012,女,美国,上班族,美食,产品 1,一级,19.6,2,39.2,3W咖啡望京店,Tom
2019/2/28,A004,女,美国,商务精英,饮料,产品 24,一级,44.8,1,44.8,3W咖啡长城店,Jim
2019/2/28,A008,男,中国,学生,饮料,产品 15,一级,27,1,27,3W咖啡门头沟店,Simon
2019/2/28,A003,女,中国,退休,饮料,产品 30,二级,23.4,1,23.4,3W咖啡王府井店,Nancy
2019/2/28,A026,女,荷兰,退休,美食,产品 20,二级,66.6,2,133.2,3W咖啡长城店,Jim
2019/2/28,A024,男,美国,退休,冰饮,产品 9,二级,56,4,224,3W咖啡望京店,Tom
2019/2/28,A018,男,荷兰,退休,美食,产品 5,一级,4.5,1,4.5,3W咖啡王府井店,Nancy
2019/2/28,A003,女,中国,退休,美食,产品 5,一级,3.5,1,3.5,3W咖啡鲁谷店,Lucy
2019/2/28,A014,女,荷兰,上班族,饮料,产品 2,三级,28,2,56,3W咖啡鲁谷店,Lucy
2019/2/28,A018,男,荷兰,退休,饮料,产品 28,一级,16.2,1,16.2,3W咖啡门头沟店,Simon
2019/2/28,A011,男,美国,无业游民,茶饮,产品 22,三级,2.8,2,5.6,3W咖啡大兴店,Bob
2019/2/28,A009,女,英国,学生,饮料,产品 14,三级,5.6,2,11.2,3W咖啡西单店,Jerry
2019/2/28,A026,女,荷兰,退休,咖啡,产品 13,三级,11.2,2,22.4,3W咖啡大兴店,Bob
2019/2/28,A022,男,中国,无业游民,美食,产品 1,一级,22.4,1,22.4,3W咖啡大兴店,Bob
2019/2/28,A021,男,荷兰,无业游民,茶饮,产品 23,一级,3.5,1,3.5,3W咖啡王府井店,Nancy
2019/2/28,A005,男,英国,无业游民,美食,产品 18,二级,61.6,4,246.4,3W咖啡望京店,Tom
2019/2/28,A003,女,中国,退休,茶饮,产品 22,三级,4,1,4,3W咖啡王府井店,Nancy
2019/2/28,A012,女,美国,上班族,饮料,产品 15,一级,30,2,60,3W咖啡王府井店,Nancy
2019/2/28,A022,男,中国,无业游民,美食,产品 1,一级,25.2,2,50.4,3W咖啡门头沟店,Simon
2019/2/28,A001,男,中国,退休,美食,产品 20,二级,66.6,6,399.6,3W咖啡西单店,Jerry
2019/2/28,A022,男,中国,无业游民,饮料,产品 6,一级,59.2,3,177.6,3W咖啡门头沟店,Simon
2019/2/28,A011,男,美国,无业游民,咖啡,产品 13,三级,16,3,48,3W咖啡长城店,Jim
2019/2/28,A016,男,英国,无业游民,茶饮,产品 26,三级,11.9,2,23.8,3W咖啡王府井店,Nancy
2019/2/28,A001,男,中国,退休,茶饮,产品 22,三级,3.2,3,9.6,3W咖啡西单店,Jerry
2019/2/28,A010,男,荷兰,无业游民,冰饮,产品 9,二级,56,1,56,3W咖啡大兴店,Bob
2019/2/28,A003,女,中国,退休,饮料,产品 30,二级,26,1,26,3W咖啡望京店,Tom
2019/2/28,A025,男,美国,无业游民,冰饮,产品 10,一级,58.4,1,58.4,3W咖啡大兴店,Bob
2019/2/28,A014,女,荷兰,上班族,咖啡,产品 21,一级,42.4,4,169.6,3W咖啡望京店,Tom
2019/2/28,A020,男,中国,退休,茶饮,产品 22,三级,3.6,5,18,3W咖啡长城店,Jim
2019/2/28,A010,男,荷兰,无业游民,茶饮,产品 26,三级,13.6,4,54.4,3W咖啡长城店,Jim
2019/2/28,A020,男,中国,退休,冰饮,产品 10,一级,51.1,1,51.1,3W咖啡西单店,Jerry
2019/2/28,A016,男,英国,无业游民,美食,产品 12,三级,5.4,2,10.8,3W咖啡鲁谷店,Lucy
2019/2/28,A023,女,中国,无业游民,饮料,产品 24,一级,51.2,7,358.4,3W咖啡大兴店,Bob
2019/2/28,A002,男,荷兰,学生,茶饮,产品 23,一级,4,7,28,3W咖啡望京店,Tom
2019/2/28,A023,女,中国,无业游民,咖啡,产品 27,一级,20,4,80,3W咖啡鲁谷店,Lucy
2019/2/28,A025,男,美国,无业游民,咖啡,产品 16,三级,48,3,144,3W咖啡大兴店,Bob
2019/2/28,A014,女,荷兰,上班族,饮料,产品 14,三级,8,1,8,3W咖啡鲁谷店,Lucy
2019/2/28,A019,男,荷兰,商务精英,咖啡,产品 13,三级,11.2,5,56,3W咖啡门头沟店,Simon
2019/2/28,A021,男,荷兰,无业游民,美食,产品 1,一级,25.2,6,151.2,3W咖啡望京店,Tom
2019/2/28,A026,女,荷兰,退休,茶饮,产品 26,三级,13.6,5,68,3W咖啡望京店,Tom
2019/2/28,A008,男,中国,学生,咖啡,产品 27,一级,22.5,1,22.5,3W咖啡大兴店,Bob
2019/2/28,A008,男,中国,学生,饮料,产品 28,一级,16.2,1,16.2,3W咖啡公主坟店,Andy
2019/2/28,A011,男,美国,无业游民,茶饮,产品 23,一级,4.5,1,4.5,3W咖啡西单店,Jerry
2019/2/28,A011,男,美国,无业游民,美食,产品 20,二级,66.6,3,199.8,3W咖啡长城店,Jim
2019/2/28,A007,男,中国,上班族,美食,产品 1,一级,28,3,84,3W咖啡门头沟店,Simon
2019/2/28,A024,男,美国,退休,美食,产品 20,二级,74,6,444,3W咖啡鲁谷店,Lucy
2019/2/28,A019,男,荷兰,商务精英,饮料,产品 24,一级,64,1,64,3W咖啡鲁谷店,Lucy
2019/2/28,A010,男,荷兰,无业游民,咖啡,产品 19,二级,44.8,3,134.4,3W咖啡公主坟店,Andy
2019/2/28,A015,女,荷兰,上班族,咖啡,产品 27,一级,25,5,125,3W咖啡望京店,Tom
2019/2/28,A008,男,中国,学生,饮料,产品 28,一级,12.6,1,12.6,3W咖啡大兴店,Bob
2019/2/28,A012,女,美国,上班族,饮料,产品 8,二级,28,6,168,3W咖啡鲁谷店,Lucy
2019/2/28,A012,女,美国,上班族,咖啡,产品 11,一级,21.7,2,43.4,3W咖啡门头沟店,Simon
2019/2/28,A012,女,美国,上班族,茶饮,产品 23,一级,3.5,5,17.5,3W咖啡望京店,Tom
2019/2/28,A012,女,美国,上班族,饮料,产品 3,三级,13.5,1,13.5,3W咖啡门头沟店,Simon
2019/2/28,A016,男,英国,无业游民,茶饮,产品 23,一级,4,2,8,3W咖啡长城店,Jim
2019/2/28,A016,男,英国,无业游民,饮料,产品 29,三级,2.7,4,10.8,3W咖啡大兴店,Bob
2019/2/28,A020,男,中国,退休,饮料,产品 2,三级,19.6,3,58.8,3W咖啡长城店,Jim
2019/2/28,A017,女,美国,学生,茶饮,产品 17,一级,75.2,1,75.2,3W咖啡王府井店,Nancy
2019/2/28,A008,男,中国,学生,冰饮,产品 9,二级,56,2,112,3W咖啡鲁谷店,Lucy
2019/2/28,A023,女,中国,无业游民,冰饮,产品 10,一级,73,1,73,3W咖啡门头沟店,Simon
2019/2/28,A025,男,美国,无业游民,美食,产品 20,二级,51.8,3,155.4,3W咖啡西单店,Jerry
2019/2/28,A003,女,中国,退休,咖啡,产品 19,二级,50.4,1,50.4,3W咖啡大兴店,Bob
2019/2/28,A002,男,荷兰,学生,茶饮,产品 17,一级,65.8,1,65.8,3W咖啡望京店,Tom
2019/2/28,A023,女,中国,无业游民,咖啡,产品 27,一级,25,2,50,3W咖啡大兴店,Bob
2019/2/28,A013,女,中国,商务精英,咖啡,产品 19,二级,39.2,5,196,3W咖啡望京店,Tom
2019/2/28,A024,男,美国,退休,饮料,产品 24,一级,51.2,1,51.2,3W咖啡大兴店,Bob
2019/2/28,A008,男,中国,学生,饮料,产品 8,二级,28,1,28,3W咖啡望京店,Tom
2019/2/28,A023,女,中国,无业游民,饮料,产品 30,二级,20.8,1,20.8,3W咖啡大兴店,Bob
2019/2/28,A020,男,中国,退休,茶饮,产品 26,三级,11.9,3,35.7,3W咖啡公主坟店,Andy
2019/2/28,A026,女,荷兰,退休,饮料,产品 2,三级,25.2,1,25.2,3W咖啡公主坟店,Andy
2019/2/28,A021,男,荷兰,无业游民,咖啡,产品 21,一级,42.4,1,42.4,3W咖啡望京店,Tom
2019/2/28,A026,女,荷兰,退休,饮料,产品 8,二级,36,8,288,3W咖啡大兴店,Bob
2019/2/28,A023,女,中国,无业游民,饮料,产品 25,一级,16.8,1,16.8,3W咖啡门头沟店,Simon
2019/2/28,A010,男,荷兰,无业游民,咖啡,产品 11,一级,24.8,1,24.8,3W咖啡望京店,Tom
2019/2/28,A026,女,荷兰,退休,美食,产品 7,一级,23,2,46,3W咖啡大兴店,Bob
2019/2/28,A004,女,美国,商务精英,饮料,产品 6,一级,66.6,2,133.2,3W咖啡公主坟店,Andy
2019/2/28,A003,女,中国,退休,美食,产品 20,二级,74,1,74,3W咖啡望京店,Tom
2019/2/28,A015,女,荷兰,上班族,饮料,产品 8,二级,28,3,84,3W咖啡望京店,Tom
2019/2/28,A012,女,美国,上班族,饮料,产品 29,三级,2.7,1,2.7,3W咖啡长城店,Jim
2019/2/28,A007,男,中国,上班族,咖啡,产品 16,三级,48,1,48,3W咖啡公主坟店,Andy
2019/2/28,A024,男,美国,退休,饮料,产品 15,一级,24,1,24,3W咖啡门头沟店,Simon
2019/2/28,A002,男,荷兰,学生,美食,产品 5,一级,3.5,2,7,3W咖啡望京店,Tom
2019/2/28,A022,男,中国,无业游民,美食,产品 18,二级,70.4,1,70.4,3W咖啡望京店,Tom
2019/2/28,A001,男,中国,退休,咖啡,产品 27,一级,25,2,50,3W咖啡公主坟店,Andy
2019/2/28,A015,女,荷兰,上班族,咖啡,产品 13,三级,12.8,6,76.8,3W咖啡长城店,Jim
2019/2/28,A010,男,荷兰,无业游民,饮料,产品 29,三级,2.7,1,2.7,3W咖啡王府井店,Nancy
2019/2/28,A024,男,美国,退休,茶饮,产品 26,三级,17,4,68,3W咖啡门头沟店,Simon
2019/2/28,A014,女,荷兰,上班族,美食,产品 18,二级,70.4,4,281.6,3W咖啡西单店,Jerry
2019/2/28,A009,女,英国,学生,饮料,产品 29,三级,3,1,3,3W咖啡王府井店,Nancy
2019/2/28,A018,男,荷兰,退休,饮料,产品 28,一级,12.6,8,100.8,3W咖啡公主坟店,Andy
2019/3/1,A002,男,荷兰,学生,饮料,产品 30,二级,23.4,2,46.8,3W咖啡西单店,Jerry
2019/3/1,A016,男,英国,无业游民,美食,产品 20,二级,74,3,222,3W咖啡西单店,Jerry
2019/3/1,A001,男,中国,退休,美食,产品 20,二级,66.6,3,199.8,3W咖啡西单店,Jerry
2019/3/1,A023,女,中国,无业游民,饮料,产品 25,一级,24,1,24,3W咖啡望京店,Tom
2019/3/1,A016,男,英国,无业游民,饮料,产品 24,一级,57.6,3,172.8,3W咖啡长城店,Jim
2019/3/1,A024,男,美国,退休,美食,产品 20,二级,74,3,222,3W咖啡望京店,Tom
2019/3/1,A026,女,荷兰,退休,茶饮,产品 22,三级,2.8,6,16.8,3W咖啡西单店,Jerry
2019/3/1,A024,男,美国,退休,饮料,产品 28,一级,14.4,4,57.6,3W咖啡长城店,Jim
2019/3/1,A010,男,荷兰,无业游民,饮料,产品 3,三级,13.5,3,40.5,3W咖啡望京店,Tom
2019/3/1,A011,男,美国,无业游民,饮料,产品 30,二级,20.8,1,20.8,3W咖啡王府井店,Nancy
2019/3/1,A026,女,荷兰,退休,饮料,产品 14,三级,8,1,8,3W咖啡大兴店,Bob
2019/3/1,A024,男,美国,退休,饮料,产品 28,一级,18,7,126,3W咖啡大兴店,Bob
2019/3/1,A008,男,中国,学生,饮料,产品 28,一级,12.6,8,100.8,3W咖啡门头沟店,Simon
2019/3/1,A024,男,美国,退休,美食,产品 1,一级,22.4,2,44.8,3W咖啡王府井店,Nancy
2019/3/1,A008,男,中国,学生,美食,产品 1,一级,19.6,1,19.6,3W咖啡王府井店,Nancy
2019/3/1,A018,男,荷兰,退休,茶饮,产品 26,三级,13.6,2,27.2,3W咖啡长城店,Jim
2019/3/1,A023,女,中国,无业游民,冰饮,产品 9,二级,49,5,245,3W咖啡门头沟店,Simon
2019/3/1,A019,男,荷兰,商务精英,咖啡,产品 27,一级,22.5,8,180,3W咖啡西单店,Jerry
2019/3/1,A016,男,英国,无业游民,咖啡,产品 4,二级,65.1,2,130.2,3W咖啡公主坟店,Andy
2019/3/1,A020,男,中国,退休,咖啡,产品 19,二级,56,2,112,3W咖啡望京店,Tom
2019/3/1,A022,男,中国,无业游民,饮料,产品 3,三级,10.5,3,31.5,3W咖啡西单店,Jerry
2019/3/1,A001,男,中国,退休,咖啡,产品 4,二级,83.7,6,502.2,3W咖啡王府井店,Nancy
2019/3/1,A023,女,中国,无业游民,美食,产品 7,一级,20.7,3,62.1,3W咖啡门头沟店,Simon
2019/3/1,A011,男,美国,无业游民,咖啡,产品 19,二级,56,1,56,3W咖啡门头沟店,Simon
2019/3/1,A008,男,中国,学生,美食,产品 18,二级,79.2,1,79.2,3W咖啡望京店,Tom
2019/3/1,A021,男,荷兰,无业游民,咖啡,产品 27,一级,25,1,25,3W咖啡西单店,Jerry
2019/3/1,A013,女,中国,商务精英,饮料,产品 2,三级,28,2,56,3W咖啡王府井店,Nancy
2019/3/1,A024,男,美国,退休,饮料,产品 24,一级,51.2,1,51.2,3W咖啡望京店,Tom
2019/3/1,A006,女,中国,商务精英,饮料,产品 3,三级,15,1,15,3W咖啡鲁谷店,Lucy
2019/3/1,A025,男,美国,无业游民,饮料,产品 30,二级,23.4,5,117,3W咖啡鲁谷店,Lucy
2019/3/1,A008,男,中国,学生,饮料,产品 14,三级,8,6,48,3W咖啡鲁谷店,Lucy
2019/3/1,A026,女,荷兰,退休,冰饮,产品 10,一级,58.4,2,116.8,3W咖啡大兴店,Bob
2019/3/1,A024,男,美国,退休,美食,产品 20,二级,51.8,5,259,3W咖啡公主坟店,Andy
2019/3/1,A006,女,中国,商务精英,咖啡,产品 19,二级,39.2,2,78.4,3W咖啡长城店,Jim
2019/3/1,A009,女,英国,学生,咖啡,产品 4,二级,65.1,1,65.1,3W咖啡望京店,Tom
2019/3/1,A003,女,中国,退休,饮料,产品 2,三级,28,2,56,3W咖啡大兴店,Bob
2019/3/1,A003,女,中国,退休,美食,产品 20,二级,66.6,3,199.8,3W咖啡长城店,Jim
2019/3/1,A016,男,英国,无业游民,饮料,产品 14,三级,5.6,1,5.6,3W咖啡公主坟店,Andy
2019/3/1,A013,女,中国,商务精英,咖啡,产品 27,一级,20,3,60,3W咖啡大兴店,Bob
2019/3/1,A021,男,荷兰,无业游民,咖啡,产品 21,一级,42.4,3,127.2,3W咖啡门头沟店,Simon
2019/3/1,A001,男,中国,退休,咖啡,产品 21,一级,53,3,159,3W咖啡王府井店,Nancy
2019/3/1,A013,女,中国,商务精英,美食,产品 1,一级,25.2,3,75.6,3W咖啡大兴店,Bob
2019/3/1,A021,男,荷兰,无业游民,饮料,产品 8,二级,40,6,240,3W咖啡鲁谷店,Lucy
2019/3/1,A011,男,美国,无业游民,咖啡,产品 19,二级,39.2,1,39.2,3W咖啡王府井店,Nancy
2019/3/1,A017,女,美国,学生,咖啡,产品 11,一级,27.9,3,83.7,3W咖啡大兴店,Bob
2019/3/1,A011,男,美国,无业游民,饮料,产品 8,二级,32,6,192,3W咖啡王府井店,Nancy
2019/3/1,A001,男,中国,退休,冰饮,产品 10,一级,65.7,1,65.7,3W咖啡王府井店,Nancy
2019/3/1,A011,男,美国,无业游民,美食,产品 1,一级,22.4,1,22.4,3W咖啡西单店,Jerry
2019/3/1,A020,男,中国,退休,冰饮,产品 10,一级,58.4,1,58.4,3W咖啡鲁谷店,Lucy
2019/3/1,A003,女,中国,退休,冰饮,产品 10,一级,73,2,146,3W咖啡大兴店,Bob
2019/3/1,A004,女,美国,商务精英,饮料,产品 6,一级,51.8,4,207.2,3W咖啡鲁谷店,Lucy
2019/3/1,A003,女,中国,退休,美食,产品 12,三级,5.4,1,5.4,3W咖啡公主坟店,Andy
2019/3/1,A019,男,荷兰,商务精英,冰饮,产品 10,一级,65.7,1,65.7,3W咖啡王府井店,Nancy
2019/3/1,A014,女,荷兰,上班族,饮料,产品 25,一级,21.6,1,21.6,3W咖啡大兴店,Bob
2019/3/1,A008,男,中国,学生,咖啡,产品 21,一级,47.7,2,95.4,3W咖啡鲁谷店,Lucy
2019/3/1,A025,男,美国,无业游民,茶饮,产品 26,三级,17,1,17,3W咖啡门头沟店,Simon
2019/3/1,A003,女,中国,退休,饮料,产品 28,一级,18,1,18,3W咖啡西单店,Jerry
2019/3/1,A025,男,美国,无业游民,咖啡,产品 21,一级,42.4,1,42.4,3W咖啡王府井店,Nancy
2019/3/1,A013,女,中国,商务精英,咖啡,产品 16,三级,38.4,2,76.8,3W咖啡大兴店,Bob
2019/3/1,A025,男,美国,无业游民,咖啡,产品 19,二级,39.2,1,39.2,3W咖啡王府井店,Nancy
2019/3/1,A011,男,美国,无业游民,茶饮,产品 17,一级,75.2,1,75.2,3W咖啡公主坟店,Andy
2019/3/1,A025,男,美国,无业游民,美食,产品 12,三级,6,5,30,3W咖啡大兴店,Bob
2019/3/1,A006,女,中国,商务精英,饮料,产品 15,一级,21,3,63,3W咖啡鲁谷店,Lucy
2019/3/1,A001,男,中国,退休,饮料,产品 15,一级,21,1,21,3W咖啡公主坟店,Andy
2019/3/1,A013,女,中国,商务精英,饮料,产品 2,三级,19.6,2,39.2,3W咖啡鲁谷店,Lucy
2019/3/1,A019,男,荷兰,商务精英,冰饮,产品 10,一级,51.1,9,459.9,3W咖啡鲁谷店,Lucy
2019/3/1,A025,男,美国,无业游民,咖啡,产品 11,一级,21.7,1,21.7,3W咖啡公主坟店,Andy
2019/3/1,A007,男,中国,上班族,饮料,产品 25,一级,19.2,3,57.6,3W咖啡门头沟店,Simon
2019/3/1,A018,男,荷兰,退休,咖啡,产品 13,三级,16,1,16,3W咖啡长城店,Jim
2019/3/1,A024,男,美国,退休,美食,产品 1,一级,19.6,5,98,3W咖啡大兴店,Bob
2019/3/1,A012,女,美国,上班族,饮料,产品 8,二级,32,1,32,3W咖啡长城店,Jim
2019/3/1,A023,女,中国,无业游民,美食,产品 5,一级,4,1,4,3W咖啡长城店,Jim
2019/3/1,A019,男,荷兰,商务精英,咖啡,产品 16,三级,38.4,1,38.4,3W咖啡王府井店,Nancy
2019/3/1,A008,男,中国,学生,饮料,产品 24,一级,44.8,3,134.4,3W咖啡长城店,Jim
2019/3/1,A023,女,中国,无业游民,咖啡,产品 21,一级,37.1,2,74.2,3W咖啡鲁谷店,Lucy
2019/3/1,A006,女,中国,商务精英,美食,产品 18,二级,88,7,616,3W咖啡公主坟店,Andy
2019/3/1,A018,男,荷兰,退休,咖啡,产品 27,一级,20,2,40,3W咖啡王府井店,Nancy
2019/3/1,A024,男,美国,退休,饮料,产品 14,三级,5.6,7,39.2,3W咖啡门头沟店,Simon
2019/3/1,A002,男,荷兰,学生,饮料,产品 8,二级,36,8,288,3W咖啡王府井店,Nancy
2019/3/1,A002,男,荷兰,学生,饮料,产品 6,一级,74,3,222,3W咖啡大兴店,Bob
2019/3/1,A012,女,美国,上班族,咖啡,产品 13,三级,11.2,1,11.2,3W咖啡公主坟店,Andy
2019/3/1,A016,男,英国,无业游民,饮料,产品 2,三级,22.4,1,22.4,3W咖啡长城店,Jim
2019/3/1,A023,女,中国,无业游民,茶饮,产品 17,一级,94,1,94,3W咖啡大兴店,Bob
2019/3/1,A020,男,中国,退休,咖啡,产品 4,二级,83.7,2,167.4,3W咖啡门头沟店,Simon
2019/3/1,A007,男,中国,上班族,饮料,产品 6,一级,66.6,4,266.4,3W咖啡王府井店,Nancy
2019/3/1,A011,男,美国,无业游民,饮料,产品 28,一级,12.6,3,37.8,3W咖啡望京店,Tom
2019/3/1,A010,男,荷兰,无业游民,咖啡,产品 11,一级,31,1,31,3W咖啡长城店,Jim
2019/3/1,A015,女,荷兰,上班族,咖啡,产品 11,一级,21.7,6,130.2,3W咖啡长城店,Jim
2019/3/1,A002,男,荷兰,学生,饮料,产品 30,二级,20.8,3,62.4,3W咖啡西单店,Jerry
2019/3/1,A007,男,中国,上班族,咖啡,产品 27,一级,25,1,25,3W咖啡门头沟店,Simon
2019/3/1,A006,女,中国,商务精英,饮料,产品 28,一级,12.6,7,88.2,3W咖啡鲁谷店,Lucy
2019/3/1,A014,女,荷兰,上班族,咖啡,产品 21,一级,53,5,265,3W咖啡门头沟店,Simon
2019/3/1,A013,女,中国,商务精英,饮料,产品 15,一级,24,6,144,3W咖啡公主坟店,Andy
2019/3/1,A010,男,荷兰,无业游民,饮料,产品 15,一级,21,1,21,3W咖啡鲁谷店,Lucy
2019/3/1,A003,女,中国,退休,饮料,产品 2,三级,28,2,56,3W咖啡长城店,Jim
2019/3/1,A002,男,荷兰,学生,饮料,产品 14,三级,6.4,5,32,3W咖啡长城店,Jim
2019/3/1,A008,男,中国,学生,饮料,产品 24,一级,57.6,3,172.8,3W咖啡长城店,Jim
2019/3/1,A020,男,中国,退休,咖啡,产品 27,一级,22.5,9,202.5,3W咖啡王府井店,Nancy
2019/3/1,A017,女,美国,学生,美食,产品 18,二级,70.4,8,563.2,3W咖啡鲁谷店,Lucy
2019/3/1,A002,男,荷兰,学生,饮料,产品 24,一级,64,1,64,3W咖啡长城店,Jim
2019/3/1,A003,女,中国,退休,咖啡,产品 13,三级,16,2,32,3W咖啡鲁谷店,Lucy
2019/3/1,A023,女,中国,无业游民,咖啡,产品 21,一级,37.1,1,37.1,3W咖啡公主坟店,Andy
2019/3/1,A014,女,荷兰,上班族,美食,产品 7,一级,20.7,3,62.1,3W咖啡公主坟店,Andy
2019/3/1,A022,男,中国,无业游民,咖啡,产品 4,二级,65.1,1,65.1,3W咖啡西单店,Jerry
2019/3/1,A006,女,中国,商务精英,咖啡,产品 4,二级,74.4,7,520.8,3W咖啡望京店,Tom
2019/3/1,A013,女,中国,商务精英,冰饮,产品 10,一级,65.7,1,65.7,3W咖啡公主坟店,Andy
2019/3/1,A019,男,荷兰,商务精英,茶饮,产品 26,三级,15.3,1,15.3,3W咖啡公主坟店,Andy
2019/3/1,A024,男,美国,退休,茶饮,产品 26,三级,17,1,17,3W咖啡公主坟店,Andy
2019/3/1,A006,女,中国,商务精英,咖啡,产品 4,二级,83.7,9,753.3,3W咖啡门头沟店,Simon
2019/3/1,A017,女,美国,学生,咖啡,产品 27,一级,20,2,40,3W咖啡王府井店,Nancy
2019/3/1,A023,女,中国,无业游民,饮料,产品 29,三级,2.4,3,7.2,3W咖啡长城店,Jim
2019/3/1,A022,男,中国,无业游民,茶饮,产品 22,三级,4,4,16,3W咖啡大兴店,Bob
2019/3/1,A004,女,美国,商务精英,饮料,产品 28,一级,16.2,3,48.6,3W咖啡王府井店,Nancy
2019/3/1,A018,男,荷兰,退休,美食,产品 12,三级,4.2,6,25.2,3W咖啡公主坟店,Andy
2019/3/1,A007,男,中国,上班族,咖啡,产品 27,一级,25,1,25,3W咖啡鲁谷店,Lucy
2019/3/1,A013,女,中国,商务精英,冰饮,产品 9,二级,56,1,56,3W咖啡长城店,Jim
2019/3/1,A006,女,中国,商务精英,饮料,产品 29,三级,2.4,1,2.4,3W咖啡大兴店,Bob
2019/3/1,A011,男,美国,无业游民,饮料,产品 15,一级,27,2,54,3W咖啡长城店,Jim
2019/3/1,A004,女,美国,商务精英,茶饮,产品 17,一级,84.6,4,338.4,3W咖啡门头沟店,Simon
2019/3/1,A003,女,中国,退休,饮料,产品 25,一级,24,4,96,3W咖啡公主坟店,Andy
2019/3/1,A002,男,荷兰,学生,饮料,产品 30,二级,23.4,3,70.2,3W咖啡望京店,Tom
2019/3/1,A009,女,英国,学生,饮料,产品 25,一级,19.2,1,19.2,3W咖啡长城店,Jim
2019/3/1,A012,女,美国,上班族,冰饮,产品 9,二级,49,1,49,3W咖啡大兴店,Bob
2019/3/1,A004,女,美国,商务精英,美食,产品 7,一级,16.1,5,80.5,3W咖啡公主坟店,Andy
2019/3/1,A019,男,荷兰,商务精英,咖啡,产品 21,一级,47.7,5,238.5,3W咖啡西单店,Jerry
2019/3/1,A017,女,美国,学生,饮料,产品 29,三级,2.1,1,2.1,3W咖啡鲁谷店,Lucy
2019/3/1,A026,女,荷兰,退休,咖啡,产品 4,二级,93,1,93,3W咖啡门头沟店,Simon
2019/3/1,A014,女,荷兰,上班族,饮料,产品 6,一级,74,5,370,3W咖啡公主坟店,Andy
2019/3/1,A013,女,中国,商务精英,美食,产品 7,一级,16.1,1,16.1,3W咖啡长城店,Jim
2019/3/1,A009,女,英国,学生,饮料,产品 28,一级,16.2,1,16.2,3W咖啡鲁谷店,Lucy
2019/3/1,A007,男,中国,上班族,饮料,产品 3,三级,12,2,24,3W咖啡大兴店,Bob
2019/3/1,A023,女,中国,无业游民,冰饮,产品 9,二级,49,1,49,3W咖啡西单店,Jerry
2019/3/1,A024,男,美国,退休,茶饮,产品 26,三级,17,3,51,3W咖啡门头沟店,Simon
2019/3/1,A024,男,美国,退休,美食,产品 1,一级,25.2,2,50.4,3W咖啡王府井店,Nancy
2019/3/1,A013,女,中国,商务精英,冰饮,产品 10,一级,58.4,4,233.6,3W咖啡门头沟店,Simon
2019/3/1,A016,男,英国,无业游民,茶饮,产品 26,三级,17,5,85,3W咖啡望京店,Tom
2019/3/1,A017,女,美国,学生,咖啡,产品 19,二级,56,1,56,3W咖啡公主坟店,Andy
2019/3/1,A016,男,英国,无业游民,咖啡,产品 13,三级,11.2,1,11.2,3W咖啡长城店,Jim
2019/3/1,A013,女,中国,商务精英,美食,产品 20,二级,59.2,2,118.4,3W咖啡西单店,Jerry
